PEAKID,YEAR,SEASON,HOST,NATION,BCDATE,SKI,PARAPENTE,CAMPS,TOTMEMBERS,TOTHIRED,O2CLIMB,O2SLEEP,O2UNKWN,AGENCY,COMMERCIALROUTE,STDROUTE,SUMMIT_SUCCESS
DHA1,2007,3,1,Sweden,09/12/07,TRUE,FALSE,3,1,0,FALSE,FALSE,FALSE,Loben Expeditions,FALSE,TRUE,0
MANA,2007,3,1,Germany,09/13/07,TRUE,FALSE,1,4,0,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),TRUE,TRUE,0
CHOY,2006,1,2,Japan,04/28/06,TRUE,FALSE,3,1,0,FALSE,FALSE,FALSE,Thamserku Trekking/Amuse Treks,TRUE,TRUE,0
EVER,2005,1,2,UK,04/04/05,TRUE,FALSE,1,3,0,TRUE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE,0
CHOY,2005,3,2,USA,09/09/05,TRUE,FALSE,3,3,1,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE,0
EVER,2003,1,2,Czech Republic,04/24/03,TRUE,FALSE,2,2,2,FALSE,FALSE,FALSE,Nepal Trans Himalayan Explorer,TRUE,TRUE,0
LHOT,2003,1,1,France,04/07/03,TRUE,FALSE,3,5,23,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,TRUE,0
MANA,2003,1,1,Slovenia,04/12/03,TRUE,FALSE,3,7,3,FALSE,FALSE,FALSE,Everest Trekking,TRUE,TRUE,0
EVER,2003,2,2,USA,07/22/03,TRUE,FALSE,2,3,2,FALSE,FALSE,FALSE,Everest Parivar,FALSE,FALSE,0
DHA1,1997,1,1,Switzerland,04/10/97,TRUE,FALSE,1,2,0,FALSE,FALSE,FALSE,Asian Trekking,,TRUE,0
EVER,1997,3,2,Spain,09/01/97,TRUE,FALSE,1,2,0,FALSE,FALSE,FALSE,Asian Trekking/Thamserku Trekking,TRUE,TRUE,0
MANA,1996,3,1,Japan,09/09/96,TRUE,FALSE,4,6,3,FALSE,TRUE,FALSE,Above the Clouds,TRUE,TRUE,0
CHOY,1993,3,2,Spain,08/30/93,TRUE,FALSE,3,7,0,FALSE,FALSE,FALSE,Kunga,TRUE,TRUE,0
EVER,1989,3,1,France,09/03/89,TRUE,FALSE,4,9,8,TRUE,TRUE,FALSE,Sherpa Society,FALSE,,0
EVER,1987,3,1,Austria,08/26/87,TRUE,FALSE,4,15,10,TRUE,TRUE,FALSE,Mountain Travel,TRUE,TRUE,0
MAKA,1986,3,1,Italy,09/13/86,TRUE,FALSE,3,4,2,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),,TRUE,0
MANA,1985,3,1,Japan,09/22/85,TRUE,FALSE,2,15,10,FALSE,FALSE,FALSE,,TRUE,TRUE,0
MAKA,1984,3,1,Italy,09/07/84,TRUE,FALSE,2,11,5,FALSE,FALSE,FALSE,,,,0
MANA,1977,1,1,W Germany,03/28/77,TRUE,FALSE,3,9,9,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),TRUE,TRUE,0
EVER,1970,1,1,Japan,03/23/70,TRUE,FALSE,5,34,0,FALSE,TRUE,FALSE,,TRUE,TRUE,0
CHOY,1964,1,1,W Germany,04/04/64,TRUE,FALSE,4,5,12,FALSE,FALSE,FALSE,,TRUE,TRUE,0
ANN1,2021,1,1,France,04/03/21,FALSE,FALSE,3,5,0,FALSE,FALSE,FALSE,Himalaya Expeditions,FALSE,TRUE,0
BARU,2021,1,1,Austria,04/28/21,FALSE,FALSE,2,6,2,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE,0
BARU,2021,1,1,Austria,05/02/21,FALSE,FALSE,0,3,3,FALSE,FALSE,FALSE,Climbalaya (Seven Summit Treks pmt),FALSE,FALSE,0
BARU,2021,1,1,Lebanon,,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE,0
BARU,2021,1,1,USA,,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,Namas Adventure (Seven Summit Treks pmt),FALSE,FALSE,0
DHA1,2021,1,1,USA,04/04/21,FALSE,FALSE,3,4,0,FALSE,FALSE,FALSE,Shangri-La Nepal Treks,FALSE,TRUE,0
DHA1,2021,1,1,Romania,04/05/21,FALSE,FALSE,3,3,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,FALSE,0
DHA1,2021,1,1,Switzerland,04/13/21,FALSE,FALSE,2,10,7,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE,0
DHA1,2021,1,1,Spain,04/17/21,FALSE,FALSE,1,3,6,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE,0
DHA1,2021,1,1,UK,04/07/21,FALSE,FALSE,2,23,23,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE,0
DHA1,2021,1,1,India,04/26/21,FALSE,FALSE,2,2,1,FALSE,FALSE,FALSE,Pioneer Adventure (Seven Summit Treks pmt),FALSE,TRUE,0
EVER,2021,1,1,Nepal,,FALSE,FALSE,0,0,13,TRUE,TRUE,FALSE,,TRUE,TRUE,0
EVER,2021,1,1,Netherlands,04/08/21,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE,0
EVER,2021,1,1,USA,04/09/21,FALSE,FALSE,4,8,14,TRUE,TRUE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE,0
EVER,2021,1,1,S Africa,04/13/21,FALSE,FALSE,4,1,2,TRUE,TRUE,FALSE,Top Himalaya Guides (High Himalayan Climbing pmt),TRUE,TRUE,0
EVER,2021,1,1,Austria,04/24/21,FALSE,FALSE,3,10,20,FALSE,FALSE,FALSE,Iceland Trekking,TRUE,TRUE,0
EVER,2021,1,1,Austria,05/01/21,FALSE,FALSE,3,9,14,FALSE,FALSE,FALSE,Iceland Trekking,TRUE,TRUE,0
EVER,2021,1,1,India,,FALSE,FALSE,4,30,40,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
EVER,2021,1,1,USA,04/18/21,FALSE,FALSE,2,10,12,FALSE,FALSE,FALSE,Expedition Himalaya,TRUE,TRUE,0
EVER,2021,1,1,France,04/13/21,FALSE,FALSE,2,9,13,FALSE,FALSE,FALSE,Climbalaya,TRUE,TRUE,0
EVER,2021,1,1,Nepal,04/20/21,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,Grand Himalaya Treks (High Himalayan Climbing pmt),TRUE,TRUE,0
EVER,2021,1,1,UK,,FALSE,FALSE,0,4,6,FALSE,FALSE,FALSE,TAGnepal Trekking,TRUE,TRUE,0
EVER,2021,1,1,Russia,,FALSE,FALSE,0,2,1,TRUE,TRUE,FALSE,Makalu Extreme Treks (Pioneer Adventure pmt),TRUE,TRUE,0
EVER,2021,1,2,China,,FALSE,FALSE,0,21,21,FALSE,FALSE,FALSE,Holy Mountain Adventure,TRUE,TRUE,0
HIML,2021,1,1,Portugal,,FALSE,FALSE,0,5,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,FALSE,FALSE,0
HIML,2021,1,1,France,,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,FALSE,FALSE,0
LHOT,2021,1,1,Nepal,,FALSE,FALSE,0,0,6,TRUE,TRUE,FALSE,,FALSE,TRUE,0
LHOT,2021,1,1,India,04/16/21,FALSE,FALSE,3,4,0,FALSE,FALSE,FALSE,Satori Adventures,FALSE,TRUE,0
LHOT,2021,1,1,USA,04/16/21,FALSE,FALSE,2,6,6,FALSE,FALSE,FALSE,Everest Parivar,FALSE,TRUE,0
LHOT,2021,1,1,Austria,04/24/21,FALSE,FALSE,3,5,5,FALSE,FALSE,FALSE,Iceland Trekking,FALSE,TRUE,0
LHOT,2021,1,1,Austria,05/01/21,FALSE,FALSE,3,3,3,FALSE,FALSE,FALSE,Iceland Trekking,FALSE,TRUE,0
LHOT,2021,1,1,Russia,04/24/21,FALSE,FALSE,3,12,13,TRUE,TRUE,FALSE,7 Summits Adventure,FALSE,TRUE,0
LHOT,2021,1,1,UK,04/24/21,FALSE,FALSE,0,2,2,FALSE,FALSE,FALSE,Expedition Himalaya,FALSE,TRUE,0
LHOT,2021,1,1,India,04/16/21,FALSE,FALSE,1,1,1,FALSE,FALSE,FALSE,8K Expeditions (Expedition Himalaya pmt),FALSE,TRUE,0
LHOT,2021,1,1,France,04/21/21,FALSE,FALSE,3,1,1,FALSE,FALSE,FALSE,Himalayan Shepherd (Expedition Himalaya pmt),FALSE,TRUE,0
LHOT,2021,1,1,Nepal,,FALSE,FALSE,4,4,5,TRUE,TRUE,FALSE,Elite Himalayan Adventures (Seven Summit Treks pmt),FALSE,FALSE,0
MAKA,2021,1,1,Georgia,04/15/21,FALSE,FALSE,2,8,6,TRUE,FALSE,FALSE,Satori Adventures,FALSE,TRUE,0
MAKA,2021,1,1,Germany,04/15/21,FALSE,FALSE,3,12,0,TRUE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE,0
MAKA,2021,1,1,UK,05/21/21,FALSE,FALSE,2,2,2,FALSE,FALSE,FALSE,Himalayan Guides,FALSE,TRUE,0
MANA,2021,1,1,Japan,,FALSE,FALSE,2,1,2,FALSE,FALSE,FALSE,,TRUE,TRUE,0
PUMO,2021,1,1,UK,,FALSE,FALSE,0,4,0,FALSE,FALSE,FALSE,Himalayan Guides,FALSE,FALSE,0
TILI,2021,1,1,France,,FALSE,FALSE,0,8,0,FALSE,FALSE,FALSE,Yatri Trekking,FALSE,FALSE,0
TKPO,2021,1,1,Canada,04/20/21,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,Climbalaya,FALSE,FALSE,0
TUKU,2021,1,1,Romania,04/07/21,FALSE,FALSE,2,1,2,FALSE,FALSE,FALSE,Mountain Cape Treks,FALSE,FALSE,0
BARU,2021,3,1,Germany,,FALSE,FALSE,2,8,2,FALSE,FALSE,FALSE,Thamserku Trekking,FALSE,FALSE,0
BARU,2021,3,1,Switzerland,10/24/21,FALSE,FALSE,1,4,2,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE,0
BARU,2021,3,1,UK,10/22/21,FALSE,FALSE,2,12,5,FALSE,FALSE,TRUE,Makalu Adventure,FALSE,FALSE,0
BARU,2021,3,1,Finland,10/31/21,FALSE,FALSE,1,6,4,FALSE,FALSE,FALSE,Expedition Himalaya,FALSE,FALSE,0
CHAM,2021,3,1,France,10/04/21,FALSE,FALSE,1,4,0,FALSE,FALSE,FALSE,Pralhad Chapagain (Freelancer at Expes.com),FALSE,FALSE,0
CHEK,2021,3,1,Spain,10/05/21,FALSE,FALSE,1,8,0,FALSE,FALSE,FALSE,Dream Carrier Treks,FALSE,FALSE,0
CHOY,2021,4,1,Nepal,,FALSE,FALSE,0,11,0,FALSE,FALSE,FALSE,Global Expedition,FALSE,FALSE,0
CHOY,2021,4,1,Nepal,,FALSE,FALSE,0,8,0,FALSE,FALSE,FALSE,Pioneer Adventure,FALSE,FALSE,0
DHA1,2021,3,1,Nepal,,FALSE,FALSE,0,0,5,TRUE,FALSE,FALSE,,FALSE,TRUE,0
DHA1,2021,3,1,Spain,09/14/21,FALSE,FALSE,1,2,4,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,TRUE,0
EVER,2021,4,1,Germany,12/18/21,FALSE,FALSE,3,1,0,FALSE,FALSE,FALSE,Satori Adventures,FALSE,FALSE,0
GYAJ,2021,3,1,France,10/07/21,FALSE,FALSE,1,4,0,FALSE,FALSE,FALSE,Himalayan Travellers Nepal,FALSE,FALSE,0
HIML,2021,3,1,Switzerland,10/15/21,FALSE,FALSE,2,8,7,FALSE,FALSE,FALSE,Himalaya Vision,FALSE,FALSE,0
JANU,2021,3,1,USA,09/25/21,FALSE,FALSE,4,4,0,FALSE,FALSE,FALSE,Grand Himalaya Treks,FALSE,FALSE,0
KANG,2021,3,1,Ecuador,09/08/21,FALSE,FALSE,2,3,5,TRUE,FALSE,FALSE,Himalaya Vision,FALSE,FALSE,0
KTEG,2021,3,1,France,10/08/21,FALSE,FALSE,0,8,0,FALSE,FALSE,FALSE,Pralhad Chapagain (Freelancer at Expes.com),FALSE,FALSE,0
LDNG,2021,4,1,USA,,FALSE,FALSE,0,1,1,FALSE,FALSE,FALSE,Magical Nepal,FALSE,FALSE,0
MANA,2021,3,1,Nepal,,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,,TRUE,TRUE,0
MANA,2021,3,1,Netherlands,09/13/21,FALSE,FALSE,4,36,36,TRUE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
MANA,2021,3,1,Argentina,09/08/21,FALSE,FALSE,4,6,5,TRUE,FALSE,FALSE,Iceland Trekking,TRUE,TRUE,0
MANA,2021,3,1,Austria,09/19/21,FALSE,FALSE,4,9,8,TRUE,FALSE,FALSE,Iceland Trekking,TRUE,TRUE,0
MANA,2021,3,1,Austria,09/07/21,FALSE,FALSE,4,10,6,TRUE,FALSE,FALSE,Himalaya Vision,TRUE,TRUE,0
MANA,2021,3,1,Sweden,,FALSE,FALSE,0,9,9,TRUE,FALSE,FALSE,Pioneer Adventure,TRUE,TRUE,0
MANA,2021,3,1,India,09/13/21,FALSE,FALSE,4,13,13,TRUE,FALSE,FALSE,8K Expeditions,TRUE,TRUE,0
MANA,2021,3,1,Nepal,09/14/21,FALSE,FALSE,4,16,7,TRUE,FALSE,FALSE,Cha-Tours Treks,TRUE,TRUE,0
MANA,2021,3,1,France,09/11/21,FALSE,FALSE,4,6,5,TRUE,FALSE,FALSE,Glacier Himalaya Treks,TRUE,TRUE,0
MANA,2021,3,1,Ireland,,FALSE,FALSE,4,10,1,TRUE,FALSE,FALSE,Makalu Adventure,TRUE,TRUE,0
MANA,2021,3,1,UK,09/12/21,FALSE,FALSE,4,2,2,TRUE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE,0
MANA,2021,3,1,France,09/15/21,FALSE,FALSE,4,9,9,TRUE,FALSE,FALSE,Himalayan Travellers Nepal,TRUE,TRUE,0
MANA,2021,3,1,France,09/10/21,FALSE,FALSE,4,6,6,TRUE,FALSE,FALSE,Wild Yak Expeditions,TRUE,TRUE,0
MANA,2021,3,1,India,,FALSE,FALSE,4,12,12,TRUE,FALSE,FALSE,Satori Adventures,TRUE,TRUE,0
MANA,2021,3,1,Czech Republic,,FALSE,FALSE,4,14,4,TRUE,FALSE,FALSE,Utmost Adventure,TRUE,TRUE,0
MANA,2021,3,1,Nepal,09/10/21,FALSE,FALSE,4,5,3,TRUE,FALSE,FALSE,TAGnepal Trekking (Snowy Horizon pmt),TRUE,TRUE,0
MANA,2021,3,1,Norway,,FALSE,FALSE,0,1,2,TRUE,FALSE,FALSE,Ascent Himalayas (Imagine Nepal pmt),TRUE,TRUE,0
MANA,2021,3,1,Romania,09/09/21,FALSE,FALSE,4,5,5,TRUE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE,0
MANA,2021,3,1,Netherlands,09/11/21,FALSE,FALSE,4,4,4,TRUE,FALSE,FALSE,Nepal Guide (Snowy Horizon pmt),TRUE,TRUE,0
MANA,2021,4,1,Italy,12/25/21,FALSE,FALSE,1,5,1,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
MANA,2021,4,1,Nepal,12/25/21,FALSE,FALSE,1,10,2,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
OMRC,2021,3,1,France,10/08/21,FALSE,FALSE,1,4,0,FALSE,FALSE,FALSE,Pralhad Chapagain (Freelancer at Expes.com),FALSE,FALSE,0
SURM,2021,3,1,USA,11/25/21,FALSE,FALSE,0,2,1,FALSE,FALSE,FALSE,Magical Nepal,FALSE,FALSE,0
TKPO,2021,3,1,France,10/12/21,FALSE,FALSE,2,6,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,FALSE,0
EVER,2020,1,2,China,,FALSE,FALSE,3,0,6,TRUE,TRUE,FALSE,Holy Mountain Adventure,TRUE,TRUE,0
AMAD,2020,3,1,UK,11/16/20,FALSE,FALSE,2,4,2,FALSE,FALSE,FALSE,Himalayan Guides,TRUE,FALSE,0
AMAD,2020,3,1,Belgium,,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,Ever Quest Expeditions,TRUE,FALSE,0
HIML,2020,3,1,Nepal,11/03/20,FALSE,FALSE,3,5,0,FALSE,FALSE,FALSE,TAGnepal Trekking,FALSE,FALSE,0
MANA,2020,4,1,Italy,01/10/21,FALSE,FALSE,2,3,4,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
MANA,2020,4,1,Nepal,,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
AMAD,2019,1,1,USA,,FALSE,FALSE,0,12,0,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,FALSE,0
AMAD,2019,1,1,Switzerland,04/21/19,FALSE,FALSE,2,2,1,FALSE,FALSE,FALSE,Himalaya Vision,TRUE,FALSE,0
AMAD,2019,1,1,Switzerland,04/03/19,FALSE,FALSE,1,3,3,FALSE,FALSE,FALSE,Himalaya Vision,TRUE,FALSE,0
AMAD,2019,1,1,Czech Republic,04/16/19,FALSE,FALSE,2,11,4,FALSE,FALSE,FALSE,Utmost Adventure,TRUE,FALSE,0
AMAD,2019,1,1,Denmark,04/12/19,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE,0
AMAD,2019,1,1,S Korea,04/12/19,FALSE,FALSE,0,1,1,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE,0
AMAD,2019,1,1,New Zealand,04/15/19,FALSE,FALSE,1,1,1,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE,0
AMAD,2019,1,1,UK,,FALSE,FALSE,0,2,2,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,FALSE,0
ANN1,2019,1,1,India,03/29/19,FALSE,FALSE,4,1,1,TRUE,TRUE,FALSE,Dolma Outdoor (Asian Trekking pmt),FALSE,TRUE,0
BARU,2019,1,1,Australia,04/29/19,FALSE,FALSE,2,6,9,FALSE,FALSE,FALSE,Yatri Trekking,FALSE,FALSE,0
CHAM,2019,1,1,Slovenia,04/09/19,FALSE,FALSE,0,10,0,FALSE,FALSE,FALSE,Traditional Treks,FALSE,FALSE,0
CHOB,2019,1,1,Cyprus,04/21/19,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,Nepal Social Treks,FALSE,FALSE,0
CHOY,2019,1,2,Germany,04/14/19,FALSE,FALSE,1,10,5,FALSE,FALSE,FALSE,Everest Parivar,TRUE,TRUE,0
CHOY,2019,1,2,India,04/29/19,FALSE,FALSE,2,4,4,FALSE,FALSE,FALSE,Seven Summit Treks,TRUE,TRUE,0
CHOY,2019,1,2,Norway,04/20/19,FALSE,FALSE,2,3,3,FALSE,FALSE,FALSE,Snowy Horizon Treks,TRUE,TRUE,0
DHA1,2019,1,1,Slovakia,04/17/19,FALSE,FALSE,2,3,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,FALSE,0
EVER,2019,1,1,Nepal,,FALSE,FALSE,0,0,8,TRUE,FALSE,FALSE,,TRUE,TRUE,0
EVER,2019,1,1,Germany,04/25/19,FALSE,FALSE,3,1,0,FALSE,FALSE,FALSE,Himalayan Guides,TRUE,TRUE,0
EVER,2019,1,1,USA,04/18/19,FALSE,FALSE,4,8,15,TRUE,TRUE,FALSE,Shangri-La Nepal Treks,TRUE,TRUE,0
EVER,2019,1,1,Germany,04/20/19,FALSE,FALSE,4,1,1,TRUE,TRUE,FALSE,Seven Brothers Summiters,TRUE,TRUE,0
EVER,2019,1,1,USA,04/16/19,FALSE,FALSE,2,3,1,TRUE,TRUE,FALSE,Himalayan Ecstasy Treks,TRUE,TRUE,0
EVER,2019,1,1,India,,FALSE,FALSE,3,4,4,FALSE,FALSE,FALSE,Makalu Extreme Treks (Prestige Adventure pmt),TRUE,TRUE,0
EVER,2019,1,1,India,03/31/19,FALSE,FALSE,4,1,1,TRUE,TRUE,FALSE,Snowy Horizon Treks,TRUE,TRUE,0
EVER,2019,1,1,Nepal,04/20/19,FALSE,FALSE,3,2,2,FALSE,TRUE,FALSE,Himalayan Ascent,TRUE,TRUE,0
EVER,2019,1,2,UK,04/10/19,FALSE,FALSE,3,8,0,TRUE,TRUE,FALSE,Himalaya Vision,TRUE,TRUE,0
EVER,2019,1,2,USA,04/16/19,FALSE,FALSE,1,4,0,FALSE,FALSE,FALSE,Himalaya Vision,FALSE,FALSE,0
EVER,2019,1,2,Japan,04/22/19,FALSE,FALSE,3,4,4,TRUE,TRUE,FALSE,Himalaya Vision,TRUE,TRUE,0
EVER,2019,1,2,USA,04/22/19,FALSE,FALSE,2,2,3,TRUE,TRUE,FALSE,Expedition Himalaya,TRUE,TRUE,0
EVER,2019,1,2,China,,FALSE,FALSE,3,0,6,TRUE,TRUE,FALSE,Holy Mountain Adventure,TRUE,TRUE,0
HIMJ,2019,1,1,Japan,04/13/19,FALSE,FALSE,3,5,0,FALSE,FALSE,FALSE,Cosmo Treks,FALSE,FALSE,0
HIML,2019,1,1,USA,05/07/19,FALSE,FALSE,0,2,1,FALSE,FALSE,FALSE,Happy Feet Mountaineers,FALSE,FALSE,0
JANE,2019,1,1,Russia,03/11/19,FALSE,FALSE,17,3,0,FALSE,FALSE,FALSE,Dream Himalaya Adventures,FALSE,FALSE,0
KANB,2019,1,1,Italy,04/27/19,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,Cho Oyu Trekking,FALSE,FALSE,0
KANG,2019,1,1,Nepal,,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,,FALSE,TRUE,0
LANG,2019,1,1,Germany,04/15/19,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,Everest Parivar,FALSE,FALSE,0
LCHA,2019,1,1,Australia,05/07/19,FALSE,FALSE,0,11,3,FALSE,FALSE,FALSE,Highland Excursions,FALSE,FALSE,0
LHOT,2019,1,1,UK,04/17/19,FALSE,FALSE,3,13,0,FALSE,FALSE,FALSE,Everest Parivar,FALSE,TRUE,0
LHOT,2019,1,1,Poland,04/15/19,FALSE,FALSE,3,2,1,FALSE,FALSE,FALSE,Pioneer Adventure (Happy Feet pmt),FALSE,FALSE,0
LHOT,2019,1,1,S Korea,04/10/19,FALSE,FALSE,3,7,9,FALSE,FALSE,FALSE,Trekking Camp Nepal,FALSE,FALSE,0
LSHR,2019,1,1,Spain,04/21/19,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,Amitayus Trekking,FALSE,FALSE,0
MAKA,2019,1,1,Nepal,,FALSE,FALSE,0,0,5,TRUE,FALSE,FALSE,,FALSE,TRUE,0
MAKA,2019,1,1,Greece,05/16/19,FALSE,FALSE,3,1,2,TRUE,FALSE,FALSE,Imagine Nepal (Pioneer Adventure pmt),FALSE,TRUE,0
NUPT,2019,1,1,UK,04/14/19,FALSE,FALSE,3,1,1,TRUE,FALSE,FALSE,Himalayan Guides,FALSE,FALSE,0
PASA,2019,1,1,S Korea,,FALSE,FALSE,0,4,4,FALSE,FALSE,FALSE,Seven Summit Treks,FALSE,FALSE,0
